,x,y,z
177,59.28968,55.15871,-1018.0
178,61.18393,54.97207,-1018.0
179,62.1437,41.92229,-1019.0
180,61.1893,42.6333,-1018.5
181,61.18705,41.29671,-1019.0
182,60.218,41.82183,-1019.0
183,63.89278,41.95441,-1019.0
184,63.01391,42.71262,-1019.0
185,63.0521,41.36392,-1019.0
186,58.37141,41.97206,-1019.0
187,59.27051,42.56974,-1018.5
188,58.28611,43.22103,-1018.5
189,59.98565,43.11738,-1018.5
190,61.26633,43.33228,-1018.5
191,62.10533,42.96204,-1018.5
192,62.88673,43.43683,-1018.5
193,63.97473,43.28875,-1019.0
194,59.26954,43.56598,-1018.5
195,58.49569,44.04405,-1018.0
196,57.3424,43.88075,-1018.5
197,57.5186,44.67107,-1018.0
198,64.90585,43.99088,-1019.0
199,55.33614,45.12111,-1019.0
200,56.39464,44.47326,-1018.5
201,65.84306,44.62659,-1019.0
202,65.63042,45.46697,-1018.5
203,54.49382,45.87259,-1019.0
204,66.71171,45.28584,-1019.0
205,66.44885,46.14056,-1018.5
206,53.77072,46.63895,-1019.0
207,67.47636,46.16493,-1019.5
208,67.05849,46.6743,-1019.0
209,67.78121,47.15832,-1019.0
210,53.4955,47.90745,-1019.0
211,68.38228,47.97698,-1019.5
212,67.88324,48.59875,-1019.0
213,53.34745,49.25919,-1019.0
214,68.38797,49.24744,-1019.5
215,67.86005,49.88043,-1019.0
216,53.29586,50.4304,-1019.0
217,68.22792,50.46703,-1019.5
218,53.09392,51.24186,-1019.0
219,67.66265,51.27673,-1019.0
220,53.40351,51.83649,-1019.0
221,53.24756,52.41505,-1019.0
222,67.48174,52.44373,-1019.5
223,53.55466,53.18748,-1019.0
224,54.38718,54.01578,-1019.0
225,67.16142,53.61461,-1019.5
226,55.25702,54.74845,-1019.0
227,63.06802,55.00167,-1018.5
228,65.11314,54.67108,-1019.0
229,66.48954,54.26085,-1019.5
230,56.41462,55.37755,-1019.0
231,58.32608,55.79876,-1018.5
232,60.23307,55.66663,-1018.5
233,62.3097,55.52929,-1018.5
234,63.98401,55.27729,-1019.0
235,65.63267,54.98758,-1019.5
236,57.4191,55.91322,-1019.0
237,59.28707,56.04632,-1019.0
238,61.15767,56.04259,-1019.0
239,63.08089,55.89084,-1019.0
240,60.39812,56.49839,-1019.0
241,60.24318,33.30276,-1020.0
242,59.29809,33.99356,-1019.5
243,59.26395,32.69081,-1020.0
244,58.2888,33.21233,-1020.0
245,57.39683,33.90354,-1020.0
246,56.48062,34.65616,-1020.0
247,56.52876,33.36289,-1020.0
248,58.32042,34.68796,-1019.5
249,61.22614,33.93688,-1020.0
250,60.25591,34.6806,-1019.5
251,57.40166,35.32318,-1020.0
252,59.28455,35.36482,-1019.5
253,61.19638,35.34092,-1019.5
254,62.18304,34.58543,-1020.0
255,56.48311,35.9877,-1020.0
256,58.34445,35.99272,-1019.5
257,60.2474,36.03675,-1019.5
258,63.05608,35.32223,-1020.0
259,62.12303,35.98406,-1019.5
260,57.39903,36.64912,-1020.0
261,59.26977,36.70377,-1019.5
262,61.17474,36.6723,-1019.5
263,63.07605,36.64507,-1020.0
264,56.49343,37.31133,-1020.0
265,58.34867,37.326,-1019.5
266,60.24772,37.37408,-1019.5
267,62.12362,37.31777,-1019.5
268,57.39649,37.97729,-1019.5
269,59.24679,38.02327,-1019.5
270,61.1779,38.02338,-1019.5
271,63.98106,37.33097,-1020.0
272,63.05109,38.00394,-1019.5
273,56.47123,38.64124,-1020.0
274,58.34517,38.652,-1019.5
275,60.22943,38.31929,-1019.5
276,59.75588,38.64713,-1019.5
277,60.94799,38.79797,-1019.5
278,60.27577,39.27192,-1019.5
279,62.12634,38.65149,-1019.5
280,64.01468,38.65229,-1020.0
281,57.39175,39.29547,-1019.5
282,59.07769,39.14139,-1019.5
283,59.35555,39.94411,-1019.5
284,61.92393,39.47451,-1019.5
285,61.20603,39.93438,-1019.5
286,63.04521,39.35749,-1019.5
287,56.4462,39.95974,-1020.0
288,58.38281,39.95197,-1019.5
289,60.24339,40.60666,-1019.0
290,62.83222,40.11472,-1019.5
291,62.15603,40.61827,-1019.0
292,64.91476,39.32425,-1020.0
293,63.97475,40.01118,-1019.5
294,57.38934,40.61168,-1019.5
295,58.49993,40.77394,-1019.5
296,59.24921,41.25943,-1019.0
297,63.54871,40.63766,-1019.5
298,64.95472,40.61681,-1020.0
299,56.42503,41.26655,-1019.5
300,57.81378,41.27191,-1019.5
301,64.24142,41.17908,-1019.5
302,57.37802,41.60197,-1019.5
303,56.90812,41.94281,-1019.5
304,57.3513,42.57836,-1019.0
305,64.98177,41.9005,-1019.5
306,56.23895,42.46671,-1019.5
307,55.49097,41.94439,-1020.0
308,56.39051,43.2401,-1019.0
309,64.78446,42.7254,-1019.5
310,55.36123,43.17542,-1019.5
311,54.65344,42.64705,-1020.0
312,55.57718,43.88973,-1019.0
313,65.92802,42.58189,-1020.0
314,65.48314,43.28375,-1019.5
315,54.55333,43.94909,-1020.0
316,66.78191,43.31419,-1020.0
317,66.0778,43.77424,-1019.5
318,54.74833,44.74825,-1019.5
319,67.03487,44.47394,-1019.5
320,53.67943,44.63685,-1020.0
321,54.1293,45.29451,-1019.5
322,67.80056,45.25125,-1020.0
323,53.43554,45.87857,-1020.0
324,68.52203,46.03731,-1020.0
325,68.15325,46.63197,-1019.5
326,52.94345,46.72671,-1020.0
327,53.21274,47.25384,-1019.5
328,68.83678,47.19516,-1020.0
329,52.77404,47.9075,-1020.0
330,53.06922,48.58398,-1019.5
331,69.44865,48.1154,-1020.0
332,68.92226,48.59593,-1020.0
333,52.72529,49.24621,-1019.5
334,69.35033,49.25565,-1020.0
335,52.99081,49.92649,-1019.5
336,68.77915,50.06899,-1020.0
337,52.68881,50.61436,-1019.5
338,68.62164,51.14695,-1020.0
339,52.79074,51.98902,-1019.5
340,68.11857,52.04908,-1020.0
341,52.87462,53.2241,-1020.0
342,67.7662,53.26668,-1020.0
343,53.38501,54.01654,-1020.0
344,54.11855,54.51067,-1019.5
345,54.92659,55.16253,-1019.5
346,67.33707,54.45333,-1020.0
347,53.84181,55.11793,-1020.0
348,55.50545,55.58431,-1019.5
349,64.93884,55.55366,-1019.5
350,66.63913,55.11747,-1020.0
351,54.72605,55.73887,-1020.0
352,56.27794,56.20048,-1019.5
353,58.33477,56.39309,-1019.5
354,61.97378,56.45237,-1019.5
355,64.23754,56.16721,-1019.5
356,65.72485,55.75927,-1020.0
357,55.63624,56.36041,-1020.0
358,57.37288,56.69762,-1020.0
359,59.33975,56.77866,-1019.5
360,61.16618,56.82518,-1019.5
361,63.07178,56.61304,-1019.5
362,64.84008,56.43851,-1020.0
363,58.48384,57.09616,-1020.0
364,60.22934,57.23049,-1020.0
365,62.09834,57.18006,-1020.0
366,61.12685,57.54239,-1020.5
367,60.92734,27.93955,-1022.0
368,60.13203,28.10007,-1021.5
369,60.04762,27.70307,-1022.0
370,59.22358,27.68665,-1022.0
371,55.68754,28.09304,-1021.5
372,56.50043,27.95457,-1021.5
373,55.61984,28.42836,-1021.5
374,54.76493,28.30476,-1021.5
375,58.3403,27.6925,-1022.0
376,57.43395,28.34318,-1021.0
377,57.41865,27.81794,-1021.5
378,59.29576,28.40835,-1021.0
379,61.82134,28.36617,-1021.5
380,61.0621,28.52197,-1021.5
381,53.105,28.76998,-1021.5
382,53.85018,28.54086,-1021.5
383,52.97458,29.20797,-1021.5
384,52.31324,29.0774,-1022.0
385,54.68062,28.93374,-1021.0
386,56.49094,28.7997,-1021.0
387,58.34526,28.79,-1021.0
388,60.21839,28.88293,-1021.0
389,62.73505,28.87225,-1021.5
390,62.00568,29.02365,-1021.0
391,52.05986,29.84197,-1021.5
392,51.43528,29.6355,-1022.0
393,53.73996,29.52283,-1021.0
394,55.52831,29.35315,-1020.5
395,57.42372,29.29618,-1020.5
396,59.39199,29.23535,-1020.5
397,61.15708,29.42725,-1020.5
398,63.65132,29.45433,-1021.5
399,62.94112,29.60367,-1021.0
400,50.97754,30.51873,-1021.5
401,52.78413,30.20966,-1021.0
402,54.58578,29.98569,-1020.5
403,56.44328,29.79885,-1020.5
404,58.35419,29.62835,-1020.5
405,57.61374,30.08294,-1020.0
406,59.32742,29.94991,-1020.5
407,58.36712,30.59027,-1020.0
408,60.46202,29.80673,-1020.5
409,60.26572,30.59374,-1020.0
410,62.11849,30.03566,-1020.5
411,64.5563,30.06937,-1021.5
412,63.86861,30.22541,-1021.0
413,51.87028,30.85001,-1021.0
414,53.57732,30.72791,-1020.5
415,55.50521,30.27251,-1020.5
416,54.73559,30.80846,-1020.5
417,56.43977,30.58291,-1020.0
418,55.46274,31.28004,-1020.0
419,57.39941,31.25211,-1020.0
420,59.31641,31.25126,-1020.0
421,61.19068,30.29256,-1020.5
422,61.92117,30.80151,-1020.5
423,61.20981,31.26248,-1020.0
424,63.02105,30.68945,-1020.5
425,65.44847,30.77056,-1021.5
426,64.79615,30.87371,-1021.0
427,51.03346,31.52529,-1021.0
428,50.58371,31.21093,-1021.5
429,52.68204,31.40355,-1020.5
430,53.88228,31.43173,-1020.5
431,54.59602,31.94427,-1020.0
432,56.41971,31.95745,-1020.0
433,58.35999,31.94228,-1020.0
434,60.25788,31.92797,-1020.0
435,62.84438,31.45768,-1020.5
436,62.16326,31.94937,-1020.0
437,63.94471,31.37953,-1020.5
438,66.15887,31.33254,-1021.5
439,65.69982,31.56547,-1021.0
440,50.22755,32.23241,-1021.5
441,51.80328,32.04846,-1021.0
442,53.14753,31.99491,-1020.5
443,53.65262,32.63893,-1020.0
444,55.5192,32.6389,-1020.0
445,57.39367,32.6409,-1020.0
446,61.20262,32.61438,-1020.0
447,63.74586,32.12759,-1020.5
448,63.06572,32.62493,-1020.0
449,64.9231,32.09348,-1020.5
450,66.66872,31.96307,-1021.5
451,50.95638,32.77328,-1021.0
452,52.49053,32.52808,-1020.5
453,52.91213,33.1828,-1020.5
454,54.5941,33.30597,-1020.0
455,62.13455,33.29364,-1020.0
456,64.65994,32.83827,-1020.5
457,63.94182,33.30181,-1020.5
458,65.8537,32.83715,-1021.0
459,49.98851,33.46646,-1021.5
460,51.77232,33.39426,-1020.5
461,53.62859,33.98698,-1020.0
462,55.51584,33.98248,-1020.0
463,63.03931,33.97935,-1020.0
464,65.33288,33.38285,-1020.5
465,64.80088,33.98113,-1020.5
466,67.32198,32.9188,-1021.5
467,66.67692,33.47535,-1021.0
468,50.93866,34.05957,-1021.0
469,52.59267,34.04809,-1020.5
470,54.56784,34.66572,-1020.0
471,63.98502,34.65068,-1020.0
472,65.83368,34.05901,-1020.5
473,67.39529,34.09503,-1021.5
474,50.12566,34.67068,-1021.5
475,51.79043,34.6876,-1021.0
476,53.15119,34.66946,-1020.5
477,53.74446,35.34496,-1020.5
478,55.51228,35.3274,-1020.0
479,65.39127,34.67686,-1020.5
480,64.84562,35.33372,-1020.5
481,66.72719,34.71512,-1021.0
482,50.84992,35.47634,-1021.0
483,52.71539,35.34843,-1020.5
484,54.57083,36.00407,-1020.0
485,64.00061,35.98132,-1020.0
486,65.84355,35.34569,-1020.5
487,67.46141,35.2603,-1021.5
488,51.80375,36.00896,-1021.0
489,53.2286,35.99888,-1020.5
490,53.84703,36.49319,-1020.5
491,55.51325,36.65926,-1020.0
492,65.42728,35.99503,-1020.5
493,64.94988,36.65416,-1020.5
494,66.95078,36.00188,-1021.0
495,51.05303,36.56753,-1021.0
496,52.72305,36.67195,-1020.5
497,54.67287,37.33239,-1020.5
498,65.97243,36.6776,-1020.5
499,51.82924,37.30967,-1021.0
500,53.65366,37.33954,-1020.5
501,55.50929,37.99685,-1020.0
502,65.4657,37.32054,-1020.5
503,64.94733,37.98176,-1020.0
504,66.89113,37.32161,-1021.0
505,52.67004,38.07738,-1021.0
506,54.14917,37.98759,-1020.5
507,54.76699,38.4965,-1020.5
508,65.99554,38.00358,-1020.5
509,53.63645,38.65537,-1020.5
510,55.48365,39.32869,-1020.0
511,65.51636,38.64382,-1020.5
512,66.85307,38.63788,-1021.0
513,52.76319,39.25652,-1021.0
514,54.45786,39.29095,-1020.5
515,66.08224,39.16455,-1020.5
516,65.79348,39.97583,-1020.5
517,53.57392,39.96721,-1020.5
518,54.97652,39.96231,-1020.5
519,55.47651,40.62176,-1020.0
520,66.89099,39.94586,-1020.5
521,54.4557,40.61249,-1020.5
522,66.29492,40.60645,-1020.5
523,65.86582,41.27333,-1020.0
524,53.55942,41.29352,-1020.5
525,54.70384,41.44252,-1020.0
526,66.97384,41.23075,-1020.5
527,54.127,41.95136,-1020.5
528,66.43056,41.90429,-1020.0
529,53.45155,42.619,-1020.5
530,67.21381,42.33089,-1020.5
531,53.97173,43.27055,-1020.5
532,67.90497,43.20703,-1020.5
533,53.40523,43.80288,-1020.5
534,52.87318,43.44857,-1021.0
535,67.46892,43.89922,-1020.0
536,52.76996,44.5792,-1020.5
537,68.28493,44.27336,-1020.5
538,53.07179,45.23725,-1020.5
539,68.91026,45.19154,-1020.5
540,52.54059,45.86942,-1020.5
541,69.46338,46.12392,-1020.5
542,69.1945,46.57575,-1020.5
543,52.30968,47.20374,-1020.5
544,69.86156,47.21991,-1020.5
545,52.18379,48.57936,-1020.5
546,70.1398,48.59103,-1020.5
547,52.17621,49.97906,-1020.0
548,69.89515,50.00791,-1020.5
549,69.35483,50.86971,-1020.5
550,52.28194,51.35525,-1020.0
551,68.95461,52.05251,-1020.5
552,52.49,52.7567,-1020.5
553,68.49142,53.04047,-1020.5
554,52.67697,54.08103,-1020.5
555,67.97486,54.08233,-1020.5
556,53.15343,54.64601,-1020.5
557,52.82977,55.16411,-1021.0
558,67.5176,55.12312,-1021.0
559,53.5737,55.86875,-1021.0
560,66.86476,55.93817,-1021.0
561,54.56054,56.64194,-1021.0
562,56.4212,57.30293,-1020.5
563,63.76911,57.13795,-1020.5
564,65.90905,56.62386,-1021.0
565,55.55357,57.2263,-1021.0
566,57.31621,57.53214,-1020.5
567,59.2893,57.6,-1020.5
568,63.04082,57.52208,-1020.5
569,64.96051,57.28996,-1021.0
570,58.33937,57.95176,-1021.0
571,60.13662,58.14287,-1021.0
572,62.22793,57.90126,-1021.0
573,64.00925,57.93197,-1021.0
574,59.47982,58.27006,-1021.0
575,61.18231,58.41351,-1021.0
576,62.8931,58.27538,-1021.0
577,62.07615,58.63503,-1021.5
578,58.36528,27.3682,-1022.5
579,60.16083,27.43498,-1022.5
580,55.59536,27.69795,-1022.0
581,57.24493,27.45361,-1022.0
582,59.2406,27.36302,-1022.5
583,61.20223,27.73889,-1022.5
584,52.9043,28.38291,-1022.5
585,54.699,27.86613,-1022.0
586,53.84491,28.00646,-1022.5
587,56.52926,27.53384,-1022.0
588,62.24001,28.16263,-1022.5
589,52.07656,28.72815,-1022.5
590,51.62025,28.97092,-1022.5
591,63.28949,28.65991,-1022.0
592,51.00069,29.59485,-1022.5
593,64.26139,29.20345,-1022.0
594,50.28687,30.30832,-1022.5
595,65.20201,29.76689,-1022.0
596,66.53939,30.48092,-1022.5
597,65.78508,30.15582,-1022.0
598,66.17544,30.9029,-1022.0
599,49.87203,31.34238,-1022.0
600,67.45879,31.13614,-1022.5
601,67.04415,31.59988,-1022.0
602,67.71551,31.97278,-1022.0
603,49.14019,32.16536,-1022.0
604,49.59214,32.77907,-1022.0
605,68.47906,32.78724,-1022.5
606,48.97056,33.3699,-1022.0
607,67.9782,33.42781,-1022.0
608,49.49403,34.07149,-1021.5
609,68.63799,34.04017,-1022.0
610,48.94578,34.67559,-1022.0
611,68.07528,34.69091,-1021.5
612,49.77264,35.49461,-1021.5
613,68.69903,35.32088,-1022.0
614,48.98858,35.9968,-1022.0
615,50.31536,36.00197,-1021.5
616,68.11608,35.99163,-1021.5
617,67.63991,36.6404,-1021.5
618,49.85902,36.66805,-1021.5
619,68.7429,36.64349,-1022.0
620,50.65773,37.46078,-1021.5
621,68.14891,37.31346,-1021.5
622,67.68502,37.98811,-1021.5
623,49.87097,37.98078,-1022.0
624,51.26653,37.98996,-1021.5
625,51.83478,38.61869,-1021.0
626,68.7476,37.96268,-1021.5
627,50.76448,38.66543,-1021.5
628,68.17587,38.63271,-1021.5
629,67.69212,39.27217,-1021.0
630,51.58645,39.45364,-1021.5
631,68.77558,39.26134,-1021.5
632,50.76893,39.97238,-1022.0
633,52.18113,39.97215,-1021.5
634,52.70519,40.55026,-1021.0
635,68.21436,39.94371,-1021.5
636,67.72211,40.55464,-1021.0
637,51.68482,40.64342,-1021.5
638,69.59599,39.97104,-1022.0
639,68.79826,40.61948,-1021.5
640,50.79265,41.29574,-1022.0
641,52.18304,41.29171,-1021.5
642,52.64457,41.9458,-1021.0
643,68.29752,41.24946,-1021.0
644,67.84006,41.85976,-1021.0
645,69.66393,41.27451,-1022.0
646,51.63543,41.95451,-1021.5
647,68.8965,41.93482,-1021.5
