,z,x_x,y_x,x_y,y_y
0,-1331.0,-239.53125,-239.53125,33.3291015625,54.58468818664551
1,-1329.5,-239.53125,-239.53125,33.479339599609375,55.4205436706543
2,-1328.0,-239.53125,-239.53125,34.853755950927734,59.88730239868164
3,-1326.5,-239.53125,-239.53125,34.927703857421875,57.279296875
4,-1325.0,-239.53125,-239.53125,38.27622604370117,62.88188362121582
5,-1323.5,-239.53125,-239.53125,35.89680862426758,58.527652740478516
6,-1322.0,-239.53125,-239.53125,44.26588821411133,59.505489349365234
7,-1320.5,-239.53125,-239.53125,54.482704162597656,60.52681541442871
8,-1319.0,-239.53125,-239.53125,48.61438179016113,59.456403732299805
9,-1317.5,-239.53125,-239.53125,59.29176330566406,55.08891487121582
10,-1316.0,-239.53125,-239.53125,50.66719436645508,60.035404205322266
11,-1314.5,-239.53125,-239.53125,41.52570343017578,65.46470642089844
12,-1313.0,-239.53125,-239.53125,51.701332092285156,59.23038864135742
13,-1311.5,-239.53125,-239.53125,52.756168365478516,58.63869857788086
14,-1310.0,-239.53125,-239.53125,40.75727844238281,58.78765296936035
15,-1308.5,-239.53125,-239.53125,51.75834655761719,59.97499465942383
16,-1307.0,-239.53125,-239.53125,41.691715240478516,57.88570022583008
17,-1305.5,-239.53125,-239.53125,49.79946517944336,63.817054748535156
18,-1304.0,-239.53125,-239.53125,51.78883743286133,59.52427291870117
19,-1302.5,-239.53125,-239.53125,55.91439628601074,59.52495574951172
20,-1301.0,-239.53125,-239.53125,43.47631072998047,61.4370002746582
21,-1299.5,-239.53125,-239.53125,52.7061882019043,59.2075080871582
22,-1298.0,-239.53125,-239.53125,47.28956985473633,65.59611511230469
23,-1296.5,-239.53125,-239.53125,53.66581344604492,58.62989807128906
24,-1295.0,-239.53125,-239.53125,54.08281326293945,65.93867874145508
25,-1293.5,-239.53125,-239.53125,53.21530723571777,56.05282974243164
26,-1292.0,-239.53125,-239.53125,52.734214782714844,58.57656478881836
27,-1290.5,-239.53125,-239.53125,46.52692794799805,65.59567451477051
28,-1289.0,-239.53125,-239.53125,53.66501235961914,58.555484771728516
29,-1287.5,-239.53125,-239.53125,49.8919563293457,55.7386474609375
30,-1286.0,-239.53125,-239.53125,53.20181846618652,57.99656867980957
31,-1284.5,-239.53125,-239.53125,42.90667152404785,58.54730415344238
32,-1283.0,-239.53125,-239.53125,55.563331604003906,58.88945388793945
33,-1281.5,-239.53125,-239.53125,53.70436477661133,57.87650680541992
34,-1280.0,-239.53125,-239.53125,43.87363815307617,57.88483810424805
35,-1278.5,-239.53125,-239.53125,54.62239456176758,57.85286331176758
36,-1277.0,-239.53125,-239.53125,54.08706474304199,58.52983093261719
37,-1275.5,-239.53125,-239.53125,47.85109901428223,63.41482353210449
38,-1274.0,-239.53125,-239.53125,54.588592529296875,58.52600860595703
