,x_x,y_x,z,x_y,y_y
0,-239.53125,-239.53125,-1016.5,61.205711364746094,49.90666580200195
1,-239.53125,-239.53125,-1016.5,59.786712646484375,52.52064895629883
2,-239.53125,-239.53125,-1016.5,61.214900970458984,51.24807357788086
3,-239.53125,-239.53125,-1016.5,59.29920196533203,52.84619140625
4,-239.53125,-239.53125,-1016.5,57.42164993286133,48.60093307495117
5,-239.53125,-239.53125,-1016.5,56.0781135559082,50.56125259399414
6,-239.53125,-239.53125,-1016.5,56.73536682128906,52.3111572265625
7,-239.53125,-239.53125,-1016.5,57.473392486572266,52.81386184692383
8,-239.53125,-239.53125,-1016.5,56.5240364074707,49.2508544921875
9,-239.53125,-239.53125,-1016.5,58.339595794677734,47.936431884765625
10,-239.53125,-239.53125,-1016.5,61.14199447631836,48.599220275878906
11,-239.53125,-239.53125,-1016.5,58.36927032470703,53.14091873168945
12,-239.53125,-239.53125,-1016.5,62.09086227416992,50.61333465576172
13,-239.53125,-239.53125,-1016.5,60.21416091918945,47.929805755615234
14,-239.53125,-239.53125,-1016.5,56.114356994628906,51.824893951416016
15,-239.53125,-239.53125,-1016.5,62.181488037109375,49.2782096862793
16,-239.53125,-239.53125,-1016.5,61.15805435180664,52.524169921875
17,-239.53125,-239.53125,-1016.5,60.2198486328125,53.12650680541992
18,-239.53125,-239.53125,-1016.5,55.68296432495117,51.18357467651367
19,-239.53125,-239.53125,-1016.5,55.70304870605469,49.91461944580078
20,-239.53125,-239.53125,-1016.5,62.07509994506836,51.90326690673828
21,-239.53125,-239.53125,-1016.5,59.30024337768555,47.23240661621094
22,-239.53125,-239.53125,-1016.5,62.88785934448242,50.08944320678711
23,-239.53125,-239.53125,-1016.5,61.628883361816406,47.89900588989258
24,-239.53125,-239.53125,-1016.5,61.18564987182617,47.55352783203125
25,-239.53125,-239.53125,-1016.5,62.29240798950195,48.38177490234375
26,-239.53125,-239.53125,-1016.5,56.61798858642578,53.06467819213867
27,-239.53125,-239.53125,-1016.5,62.92288589477539,51.11747360229492
28,-239.53125,-239.53125,-1016.5,57.523170471191406,47.46099853515625
29,-239.53125,-239.53125,-1016.5,59.290260314941406,53.70880889892578
30,-239.53125,-239.53125,-1016.5,60.68024826049805,47.23357391357422
31,-239.53125,-239.53125,-1016.5,56.56377410888672,47.866905212402344
32,-239.53125,-239.53125,-1018.0,58.36830139160156,55.01025390625
33,-239.53125,-239.53125,-1018.0,65.05833435058594,47.12028884887695
34,-239.53125,-239.53125,-1018.0,61.11310958862305,44.54182815551758
35,-239.53125,-239.53125,-1018.0,62.135215759277344,54.669368743896484
36,-239.53125,-239.53125,-1018.0,54.09223937988281,51.77560043334961
37,-239.53125,-239.53125,-1018.0,56.52232360839844,54.48539352416992
38,-239.53125,-239.53125,-1018.0,59.3077507019043,44.61567306518555
39,-239.53125,-239.53125,-1018.0,57.394371032714844,54.780052185058594
40,-239.53125,-239.53125,-1018.0,64.92310333251953,53.02554702758789
41,-239.53125,-239.53125,-1018.0,61.18393325805664,54.97207260131836
42,-239.53125,-239.53125,-1018.0,54.95928955078125,53.573368072509766
43,-239.53125,-239.53125,-1018.0,66.17816925048828,49.253150939941406
44,-239.53125,-239.53125,-1018.0,59.289676666259766,55.15871047973633
45,-239.53125,-239.53125,-1018.0,66.1605453491211,50.55259323120117
46,-239.53125,-239.53125,-1018.0,65.48130798339844,52.3425178527832
47,-239.53125,-239.53125,-1018.0,65.82274627685547,47.93178176879883
48,-239.53125,-239.53125,-1018.0,55.567562103271484,54.04432678222656
49,-239.53125,-239.53125,-1018.0,63.9231071472168,45.32742691040039
50,-239.53125,-239.53125,-1018.0,54.308807373046875,52.85234832763672
51,-239.53125,-239.53125,-1018.0,54.37370681762695,48.00212097167969
52,-239.53125,-239.53125,-1018.0,60.22936248779297,44.01192092895508
53,-239.53125,-239.53125,-1018.0,62.995182037353516,44.513370513916016
54,-239.53125,-239.53125,-1018.0,66.06532287597656,51.81467056274414
55,-239.53125,-239.53125,-1018.0,62.096229553222656,43.990028381347656
56,-239.53125,-239.53125,-1018.0,66.58972930908203,49.89708709716797
57,-239.53125,-239.53125,-1018.0,57.51860046386719,44.67106628417969
58,-239.53125,-239.53125,-1018.0,64.97125244140625,45.73847961425781
59,-239.53125,-239.53125,-1018.0,56.42633819580078,45.30474853515625
60,-239.53125,-239.53125,-1018.0,66.57901000976562,48.65312957763672
61,-239.53125,-239.53125,-1018.0,58.49568557739258,44.04405212402344
62,-239.53125,-239.53125,-1018.0,63.987030029296875,54.323570251464844
63,-239.53125,-239.53125,-1018.0,55.61940383911133,46.00064468383789
64,-239.53125,-239.53125,-1018.0,54.725467681884766,53.61091232299805
65,-239.53125,-239.53125,-1018.0,53.77470397949219,49.92417526245117
66,-239.53125,-239.53125,-1018.0,66.54066467285156,51.16701889038086
67,-239.53125,-239.53125,-1019.5,61.206031799316406,39.93437957763672
68,-239.53125,-239.53125,-1019.5,52.990806579589844,49.92649459838867
69,-239.53125,-239.53125,-1019.5,58.49992752075195,40.77394485473633
70,-239.53125,-239.53125,-1019.5,64.78446197509766,42.72540283203125
71,-239.53125,-239.53125,-1019.5,58.33476638793945,56.39309310913086
72,-239.53125,-239.53125,-1019.5,57.81378173828125,41.271907806396484
73,-239.53125,-239.53125,-1019.5,59.35554885864258,39.944114685058594
74,-239.53125,-239.53125,-1019.5,61.97378158569336,56.45237350463867
75,-239.53125,-239.53125,-1019.5,57.378021240234375,41.601966857910156
76,-239.53125,-239.53125,-1019.5,67.48173522949219,52.4437255859375
77,-239.53125,-239.53125,-1019.5,53.06922149658203,48.583980560302734
78,-239.53125,-239.53125,-1019.5,67.47636413574219,46.16493225097656
79,-239.53125,-239.53125,-1019.5,54.74832534790039,44.74824523925781
80,-239.53125,-239.53125,-1019.5,60.27577209472656,39.27191925048828
81,-239.53125,-239.53125,-1019.5,65.48313903808594,43.283748626708984
82,-239.53125,-239.53125,-1019.5,56.90811538696289,41.94281005859375
83,-239.53125,-239.53125,-1019.5,68.22792053222656,50.46703338623047
84,-239.53125,-239.53125,-1019.5,61.923927307128906,39.47450637817383
85,-239.53125,-239.53125,-1019.5,62.83222198486328,40.11471939086914
86,-239.53125,-239.53125,-1019.5,68.38796997070312,49.247440338134766
87,-239.53125,-239.53125,-1019.5,60.947994232177734,38.7979736328125
88,-239.53125,-239.53125,-1019.5,58.3828125,39.95197296142578
89,-239.53125,-239.53125,-1019.5,65.6326675415039,54.98757553100586
90,-239.53125,-239.53125,-1019.5,54.92658615112305,55.162532806396484
91,-239.53125,-239.53125,-1019.5,59.07768630981445,39.141387939453125
92,-239.53125,-239.53125,-1019.5,63.54871368408203,40.637657165527344
93,-239.53125,-239.53125,-1019.5,56.23895263671875,42.466712951660156
94,-239.53125,-239.53125,-1019.5,68.38227844238281,47.97698211669922
95,-239.53125,-239.53125,-1019.5,59.755882263183594,38.647132873535156
96,-239.53125,-239.53125,-1019.5,55.50545120239258,55.584312438964844
97,-239.53125,-239.53125,-1019.5,66.48954010009766,54.2608528137207
98,-239.53125,-239.53125,-1019.5,60.229434967041016,38.31928634643555
99,-239.53125,-239.53125,-1019.5,66.07780456542969,43.77424240112305
100,-239.53125,-239.53125,-1019.5,53.21274185180664,47.253841400146484
101,-239.53125,-239.53125,-1019.5,61.17790222167969,38.02337646484375
102,-239.53125,-239.53125,-1019.5,64.93883514404297,55.55366134643555
103,-239.53125,-239.53125,-1019.5,62.12633514404297,38.6514892578125
104,-239.53125,-239.53125,-1019.5,64.24141693115234,41.179080963134766
105,-239.53125,-239.53125,-1019.5,57.38934326171875,40.6116828918457
106,-239.53125,-239.53125,-1019.5,54.11854934692383,54.51067352294922
107,-239.53125,-239.53125,-1019.5,54.12929916381836,45.29451370239258
108,-239.53125,-239.53125,-1019.5,59.24679183959961,38.02327346801758
109,-239.53125,-239.53125,-1019.5,60.24772262573242,37.374080657958984
110,-239.53125,-239.53125,-1019.5,63.04520797729492,39.35749435424805
111,-239.53125,-239.53125,-1019.5,67.16142272949219,53.61460876464844
112,-239.53125,-239.53125,-1019.5,59.33974838256836,56.778656005859375
113,-239.53125,-239.53125,-1019.5,58.34516525268555,38.65200424194336
114,-239.53125,-239.53125,-1019.5,61.16618347167969,56.82517623901367
115,-239.53125,-239.53125,-1019.5,64.98176574707031,41.90049743652344
116,-239.53125,-239.53125,-1019.5,55.361228942871094,43.17542266845703
117,-239.53125,-239.53125,-1019.5,59.269771575927734,36.703773498535156
118,-239.53125,-239.53125,-1019.5,61.17474365234375,36.672298431396484
119,-239.53125,-239.53125,-1019.5,52.688812255859375,50.614356994628906
120,-239.53125,-239.53125,-1019.5,60.24740219116211,36.0367546081543
121,-239.53125,-239.53125,-1019.5,68.15325164794922,46.63197326660156
122,-239.53125,-239.53125,-1019.5,62.123619079589844,37.317771911621094
123,-239.53125,-239.53125,-1019.5,52.72528839111328,49.24620819091797
124,-239.53125,-239.53125,-1019.5,58.34867477416992,37.32600021362305
125,-239.53125,-239.53125,-1019.5,59.2845458984375,35.36482238769531
126,-239.53125,-239.53125,-1019.5,56.425025939941406,41.26655197143555
127,-239.53125,-239.53125,-1019.5,63.974754333496094,40.01118087768555
128,-239.53125,-239.53125,-1019.5,57.39175033569336,39.29547119140625
129,-239.53125,-239.53125,-1019.5,56.27793884277344,56.20048141479492
130,-239.53125,-239.53125,-1019.5,60.25591278076172,34.68059539794922
131,-239.53125,-239.53125,-1019.5,64.23754119873047,56.16720962524414
132,-239.53125,-239.53125,-1019.5,58.344451904296875,35.99272155761719
133,-239.53125,-239.53125,-1019.5,61.196380615234375,35.34091567993164
134,-239.53125,-239.53125,-1019.5,52.79074478149414,51.98902130126953
135,-239.53125,-239.53125,-1019.5,63.05108642578125,38.00394058227539
136,-239.53125,-239.53125,-1019.5,67.03486633300781,44.473941802978516
137,-239.53125,-239.53125,-1019.5,58.3204231262207,34.687957763671875
138,-239.53125,-239.53125,-1019.5,59.298091888427734,33.99355697631836
139,-239.53125,-239.53125,-1019.5,63.07177734375,56.61304473876953
140,-239.53125,-239.53125,-1019.5,62.12303161621094,35.98405838012695
141,-239.53125,-239.53125,-1019.5,57.396488189697266,37.977291107177734
142,-239.53125,-239.53125,-1021.0,51.790428161621094,34.68760299682617
143,-239.53125,-239.53125,-1021.0,67.5176010131836,55.12311553955078
144,-239.53125,-239.53125,-1021.0,62.227928161621094,57.90126037597656
145,-239.53125,-239.53125,-1021.0,51.80327606201172,32.0484619140625
146,-239.53125,-239.53125,-1021.0,58.34525680541992,28.790000915527344
147,-239.53125,-239.53125,-1021.0,52.8731803894043,43.448570251464844
148,-239.53125,-239.53125,-1021.0,53.57369613647461,55.868751525878906
149,-239.53125,-239.53125,-1021.0,65.90904998779297,56.62385940551758
150,-239.53125,-239.53125,-1021.0,66.86476135253906,55.938167572021484
151,-239.53125,-239.53125,-1021.0,51.544593811035156,49.27647399902344
152,-239.53125,-239.53125,-1021.0,66.85306549072266,38.637882232666016
153,-239.53125,-239.53125,-1021.0,56.49094009399414,28.799697875976562
154,-239.53125,-239.53125,-1021.0,60.21839141845703,28.882930755615234
155,-239.53125,-239.53125,-1021.0,68.8359375,53.41841506958008
156,-239.53125,-239.53125,-1021.0,51.518775939941406,50.64311981201172
157,-239.53125,-239.53125,-1021.0,54.5605354309082,56.64194107055664
158,-239.53125,-239.53125,-1021.0,69.85794830322266,51.34918975830078
159,-239.53125,-239.53125,-1021.0,68.83197021484375,43.86553192138672
160,-239.53125,-239.53125,-1021.0,67.84005737304688,41.859764099121094
161,-239.53125,-239.53125,-1021.0,52.82977294921875,55.16411209106445
162,-239.53125,-239.53125,-1021.0,51.803749084472656,36.00896453857422
163,-239.53125,-239.53125,-1021.0,51.88496017456055,53.38285446166992
164,-239.53125,-239.53125,-1021.0,52.6700439453125,38.07738494873047
165,-239.53125,-239.53125,-1021.0,51.60407638549805,52.01628494262695
166,-239.53125,-239.53125,-1021.0,65.85369873046875,32.837154388427734
167,-239.53125,-239.53125,-1021.0,51.56515121459961,47.9209098815918
168,-239.53125,-239.53125,-1021.0,60.136619567871094,58.14286804199219
