,x,y,z
0,59.17281723022461,50.61018371582031,-1015.9639892578125
1,58.39543914794922,49.93566131591797,-1015.97900390625
2,58.333824157714844,51.24222946166992,-1015.9898681640625
3,59.503692626953125,49.753578186035156,-1016.0265502929688
4,57.419246673583984,50.5984992980957,-1016.0313720703125
5,59.842918395996094,51.24888229370117,-1016.052734375
6,58.83945846557617,49.25679397583008,-1016.0617065429688
7,57.615989685058594,49.40565872192383,-1016.079345703125
8,60.275238037109375,50.58064651489258,-1016.0809936523438
9,59.278404235839844,51.91141128540039,-1016.1011352539062
10,58.35634231567383,48.9190559387207,-1016.130126953125
11,57.45152282714844,51.85308074951172,-1016.1385498046875
12,60.247589111328125,49.25075149536133,-1016.1812133789062
13,58.401275634765625,52.42417907714844,-1016.1845092773438
14,56.69196319580078,50.064544677734375,-1016.1875610351562
15,56.638729095458984,51.232696533203125,-1016.2113647460938
16,59.29933166503906,48.57096481323242,-1016.2155151367188
17,60.3875846862793,51.91341781616211,-1016.2171020507812
18,61.205711364746094,49.90666580200195,-1016.2579956054688
19,59.786712646484375,52.52064895629883,-1016.2772827148438
20,61.214900970458984,51.24807357788086,-1016.2864379882812
21,59.29920196533203,52.84619140625,-1016.3256225585938
22,57.42164993286133,48.60093307495117,-1016.343994140625
23,56.0781135559082,50.56125259399414,-1016.3604736328125
24,56.73536682128906,52.3111572265625,-1016.3760375976562
25,57.473392486572266,52.81386184692383,-1016.3848876953125
26,56.5240364074707,49.2508544921875,-1016.398681640625
27,58.339595794677734,47.936431884765625,-1016.4201049804688
28,61.14199447631836,48.599220275878906,-1016.4234619140625
29,58.36927032470703,53.14091873168945,-1016.4325561523438
30,62.09086227416992,50.61333465576172,-1016.4413452148438
31,60.21416091918945,47.929805755615234,-1016.4611206054688
32,56.114356994628906,51.824893951416016,-1016.46142578125
33,62.181488037109375,49.2782096862793,-1016.4979248046875
34,61.15805435180664,52.524169921875,-1016.5162353515625
35,60.2198486328125,53.12650680541992,-1016.5381469726562
36,55.68296432495117,51.18357467651367,-1016.571044921875
37,55.70304870605469,49.91461944580078,-1016.5858154296875
38,62.07509994506836,51.90326690673828,-1016.5874633789062
39,59.30024337768555,47.23240661621094,-1016.6048583984375
40,62.88785934448242,50.08944320678711,-1016.6331787109375
41,61.628883361816406,47.89900588989258,-1016.655029296875
42,61.18564987182617,47.55352783203125,-1016.67431640625
43,62.29240798950195,48.38177490234375,-1016.6802368164062
44,56.61798858642578,53.06467819213867,-1016.687744140625
45,62.92288589477539,51.11747360229492,-1016.6907958984375
46,57.523170471191406,47.46099853515625,-1016.7039184570312
47,59.290260314941406,53.70880889892578,-1016.7080078125
48,60.68024826049805,47.23357391357422,-1016.7127685546875
49,56.56377410888672,47.866905212402344,-1016.741455078125
50,63.145362854003906,49.33302307128906,-1016.7658081054688
51,55.766387939453125,52.38359832763672,-1016.7722778320312
52,57.506492614746094,53.67609405517578,-1016.7801513671875
53,58.46916580200195,46.98316192626953,-1016.7844848632812
54,60.229774475097656,46.89033126831055,-1016.7872924804688
55,63.46702575683594,50.59959030151367,-1016.8079223632812
56,61.80263137817383,53.012813568115234,-1016.8342895507812
57,55.73736572265625,48.38117218017578,-1016.8526000976562
58,63.14922332763672,51.91242599487305,-1016.874755859375
59,62.51273727416992,52.59195327758789,-1016.8759765625
60,62.06606674194336,47.223289489746094,-1016.904541015625
61,59.427696228027344,46.430721282958984,-1016.9586181640625
62,64.01670837402344,49.930274963378906,-1016.96875
63,63.10416793823242,47.84537887573242,-1016.9697265625
64,61.158203125,46.549564361572266,-1016.9837646484375
