X,Y,Z
58.35634231567383,48.9190559387207,-1016.130126953125
57.615989685058594,49.40565872192383,-1014.579345703125
58.83945846557617,49.25679397583008,-1013.0617065429688
56.69196319580078,50.064544677734375,-1011.6875610351562
58.39543914794922,49.93566131591797,-1009.97900390625
56.0781135559082,50.56125259399414,-1008.8604736328125
57.419246673583984,50.5984992980957,-1007.0313720703125
59.17281723022461,50.61018371582031,-1005.4639892578125
56.638729095458984,51.232696533203125,-1004.2113647460938
58.333824157714844,51.24222946166992,-1002.4898681640625
59.842918395996094,51.24888229370117,-1001.052734375
56.114356994628906,51.824893951416016,-999.96142578125
57.45152282714844,51.85308074951172,-998.1385498046875
59.278404235839844,51.91141128540039,-996.6011352539062
56.73536682128906,52.3111572265625,-995.3760375976562
58.401275634765625,52.42417907714844,-993.6845092773438
59.786712646484375,52.52064895629883,-992.2772827148438
57.473392486572266,52.81386184692383,-990.8848876953125
59.29920196533203,52.84619140625,-989.3256225585938
58.46916580200195,46.98316192626953,-988.2844848632812
60.229774475097656,46.89033126831055,-986.7872924804688
55.700408935546875,47.66044998168945,-985.703125
57.523170471191406,47.46099853515625,-983.7039184570312
59.30024337768555,47.23240661621094,-982.1048583984375
61.18564987182617,47.55352783203125,-980.67431640625
55.26039505004883,48.18561935424805,-979.721923828125
56.56377410888672,47.866905212402344,-977.741455078125
58.339595794677734,47.936431884765625,-975.9201049804688
60.21416091918945,47.929805755615234,-974.4611206054688
55.73736572265625,48.38117218017578,-973.3526000976562
57.42164993286133,48.60093307495117,-971.343994140625
59.29933166503906,48.57096481323242,-969.7155151367188
61.14199447631836,48.599220275878906,-968.4234619140625
54.81584930419922,49.20764923095703,-967.7052612304688
56.5240364074707,49.2508544921875,-965.398681640625
60.247589111328125,49.25075149536133,-963.6812133789062
62.181488037109375,49.2782096862793,-962.4979248046875
54.45821762084961,49.909210205078125,-961.8729858398438
55.70304870605469,49.91461944580078,-959.5858154296875
59.503692626953125,49.753578186035156,-957.5265502929688
61.205711364746094,49.90666580200195,-956.2579956054688
62.88785934448242,50.08944320678711,-955.1331787109375
54.73344802856445,50.52884292602539,-954.110107421875
60.275238037109375,50.58064651489258,-951.5809936523438
62.09086227416992,50.61333465576172,-950.4413452148438
54.4254035949707,51.14480209350586,-949.8807983398438
55.68296432495117,51.18357467651367,-947.571044921875
61.214900970458984,51.24807357788086,-945.7864379882812
62.92288589477539,51.11747360229492,-944.6907958984375
54.754249572753906,51.730655670166016,-943.6998291015625
60.3875846862793,51.91341781616211,-941.2171020507812
62.07509994506836,51.90326690673828,-940.0874633789062
54.52426528930664,52.32321548461914,-939.5469970703125
55.766387939453125,52.38359832763672,-937.2722778320312
61.15805435180664,52.524169921875,-935.5162353515625
54.96484375,53.06497573852539,-935.0045166015625
56.61798858642578,53.06467819213867,-932.687744140625
58.36927032470703,53.14091873168945,-930.9325561523438
60.2198486328125,53.12650680541992,-929.5381469726562
61.80263137817383,53.012813568115234,-928.3342895507812
55.91629409790039,53.821224212646484,-927.3327026367188
57.506492614746094,53.67609405517578,-925.2801513671875
59.290260314941406,53.70880889892578,-923.7080078125
61.18775939941406,53.775028228759766,-922.4933471679688
55.573463439941406,53.721412658691406,-921.4949951171875
56.682151794433594,54.02589797973633,-919.71044921875
58.44104766845703,54.3120231628418,-918.0750732421875
60.226661682128906,54.426063537597656,-916.688232421875
57.5574836730957,54.20475387573242,-915.1063232421875
59.32046127319336,54.389835357666016,-913.6065673828125
59.450801849365234,45.52561950683594,-912.382568359375
61.33897018432617,45.37140655517578,-910.9435424804688
63.0341911315918,45.600318908691406,-909.6364135742188
56.49190139770508,46.25680923461914,-908.1268310546875
58.31619644165039,46.02415084838867,-906.26416015625
60.22892379760742,45.92329406738281,-904.6720581054688
62.10865020751953,45.99211120605469,-903.3052978515625
55.82045364379883,46.91416549682617,-902.07763671875
57.43907165527344,46.614288330078125,-900.1466674804688
59.427696228027344,46.430721282958984,-898.4586181640625
61.158203125,46.549564361572266,-896.9837646484375
63.00432205200195,46.639617919921875,-895.7721557617188
54.98416519165039,47.45923614501953,-894.73583984375
56.287899017333984,47.206417083740234,-892.701904296875
60.68024826049805,47.23357391357422,-890.7127685546875
62.06606674194336,47.223289489746094,-889.404541015625
64.02332305908203,47.224693298339844,-888.3464965820312
54.37370681762695,48.00212097167969,-887.5089721679688
61.628883361816406,47.89900588989258,-884.655029296875
63.10416793823242,47.84537887573242,-883.4697265625
64.94257354736328,47.93463134765625,-882.4915771484375
54.584712982177734,48.54926681518555,-881.129150390625
62.29240798950195,48.38177490234375,-878.6802368164062
64.0400161743164,48.55197525024414,-877.5917358398438
65.6347427368164,48.746185302734375,-876.6638793945312
54.239463806152344,49.249691009521484,-875.1935424804688
63.145362854003906,49.33302307128906,-872.7658081054688
64.89713287353516,49.25360870361328,-871.8052978515625
64.01670837402344,49.930274963378906,-869.96875
65.67861938476562,49.97239303588867,-869.1263427734375
54.083492279052734,50.60674285888672,-867.7096557617188
63.46702575683594,50.59959030151367,-865.3079223632812
64.89549255371094,50.58733367919922,-864.3070068359375
63.946311950683594,51.258094787597656,-862.5247802734375
65.66972351074219,51.17638397216797,-861.7242431640625
54.09223937988281,51.77560043334961,-860.3146362304688
63.14922332763672,51.91242599487305,-857.874755859375
64.82601928710938,51.86368179321289,-856.9722290039062
62.51273727416992,52.59195327758789,-854.8759765625
63.953453063964844,52.537139892578125,-853.8150634765625
65.48130798339844,52.3425178527832,-852.9072265625
54.308807373046875,52.85234832763672,-851.47998046875
63.04057312011719,53.24867630004883,-849.25927734375
64.92310333251953,53.02554702758789,-848.376953125
54.95928955078125,53.573368072509766,-846.8792724609375
56.55720138549805,54.22600555419922,-844.96826171875
62.06356430053711,53.88984298706055,-843.281982421875
63.948089599609375,53.5345344543457,-842.209716796875
55.896507263183594,53.9653205871582,-840.5504760742188
57.4471549987793,54.46782302856445,-838.909423828125
59.3673095703125,54.77690505981445,-837.4356079101562
61.15608596801758,54.47291564941406,-835.91796875
58.37611389160156,54.6707649230957,-834.3987426757812
60.224151611328125,54.710567474365234,-832.9341430664062
61.266326904296875,43.332275390625,-832.2785034179688
62.88672637939453,43.43682861328125,-830.9356689453125
58.49568557739258,44.04405212402344,-829.19140625
60.22936248779297,44.01192092895508,-827.5170288085938
62.096229553222656,43.990028381347656,-826.10107421875
63.74634552001953,44.363685607910156,-824.8265380859375
57.51860046386719,44.67106628417969,-823.130615234375
59.3077507019043,44.61567306518555,-821.3287353515625
61.11310958862305,44.54182815551758,-819.80126953125
62.995182037353516,44.513370513916016,-818.5367431640625
64.54385375976562,44.87689208984375,-817.3678588867188
56.42633819580078,45.30474853515625,-815.6759033203125
58.3227653503418,45.11255645751953,-813.7263793945312
60.44778060913086,45.11930847167969,-812.0492553710938
62.218345642089844,45.07310485839844,-810.691650390625
63.9231071472168,45.32742691040039,-809.4681396484375
65.63041687011719,45.46697235107422,-808.5647583007812
55.61940383911133,46.00064468383789,-806.699462890625
57.30129623413086,45.544734954833984,-804.7120971679688
63.50786590576172,45.94378662109375,-803.1243286132812
64.97125244140625,45.73847961425781,-802.1469116210938
66.4488525390625,46.140560150146484,-801.2259521484375
54.77082061767578,46.74092483520508,-799.3290405273438
64.2724380493164,46.50758361816406,-797.1757202148438
65.81613159179688,46.40705108642578,-796.2820434570312
67.05848693847656,46.67429733276367,-795.4063110351562
54.1594123840332,47.4529914855957,-793.4403686523438
65.05833435058594,47.12028884887695,-791.2708129882812
66.65208435058594,47.026268005371094,-790.5294189453125
65.82274627685547,47.93178176879883,-788.4223022460938
67.3512191772461,47.945953369140625,-787.7601928710938
53.89316177368164,48.66164779663086,-785.7845458984375
66.57901000976562,48.65312957763672,-784.18896484375
67.88323974609375,48.5987548828125,-783.5431518554688
66.17816925048828,49.253150939941406,-780.8859252929688
67.40489959716797,49.23057174682617,-780.1787109375
53.77470397949219,49.92417526245117,-778.2086181640625
66.58972930908203,49.89708709716797,-776.62744140625
66.1605453491211,50.55259323120117,-774.9002685546875
67.2928466796875,50.4787712097168,-774.168701171875
53.612586975097656,51.22590255737305,-772.3782958984375
66.54066467285156,51.16701889038086,-770.72509765625
53.403507232666016,51.836490631103516,-769.7654418945312
66.06532287597656,51.81467056274414,-767.5657958984375
67.0249252319336,51.749637603759766,-766.7315673828125
53.714725494384766,52.56544494628906,-765.0628051757812
66.40418243408203,52.403602600097656,-763.4652709960938
54.725467681884766,53.61091232299805,-761.7008666992188
65.66068267822266,53.099239349365234,-760.3032836914062
66.81106567382812,52.68654251098633,-759.398193359375
54.362098693847656,53.402198791503906,-757.3662109375
55.567562103271484,54.04432678222656,-755.4640502929688
63.170814514160156,54.092529296875,-753.73095703125
64.86173248291016,53.874874114990234,-752.779052734375
66.34955596923828,53.61240768432617,-751.9642944335938
56.52232360839844,54.48539352416992,-749.323486328125
58.36830139160156,55.01025390625,-747.7621459960938
60.1858024597168,55.00326919555664,-746.224365234375
62.135215759277344,54.669368743896484,-744.8114013671875
63.987030029296875,54.323570251464844,-743.6932373046875
65.57566833496094,53.857696533203125,-742.6885986328125
57.394371032714844,54.780052185058594,-740.3648681640625
59.289676666259766,55.15871047973633,-738.8884887695312
61.18393325805664,54.97207260131836,-737.3776245117188
63.068016052246094,55.001670837402344,-736.332763671875
59.755882263183594,38.647132873535156,-735.9609985351562
60.947994232177734,38.7979736328125,-734.4210815429688
60.27577209472656,39.27191925048828,-732.862060546875
61.923927307128906,39.47450637817383,-731.3848266601562
59.35554885864258,39.944114685058594,-729.811767578125
61.206031799316406,39.93437957763672,-728.2515258789062
62.83222198486328,40.11471939086914,-726.9000244140625
58.49992752075195,40.77394485473633,-725.2691040039062
60.24339294433594,40.60665512084961,-723.6129150390625
62.15603256225586,40.61827087402344,-722.1854858398438
63.54871368408203,40.637657165527344,-720.9456787109375
57.81378173828125,41.271907806396484,-719.2954711914062
59.24920654296875,41.25943374633789,-717.5379638671875
61.18704605102539,41.29670715332031,-715.9449462890625
63.052101135253906,41.363922119140625,-714.659912109375
56.90811538696289,41.94281005859375,-713.3746948242188
58.37140655517578,41.97206497192383,-711.5015258789062
60.21800231933594,41.82182693481445,-709.8021240234375
62.14370346069336,41.92229461669922,-708.3470458984375
63.89277648925781,41.954410552978516,-707.201904296875
57.351295471191406,42.57836151123047,-705.5574951171875
59.270511627197266,42.56974411010742,-703.65966796875
61.189300537109375,42.633296966552734,-702.0588989257812
63.013912200927734,42.712623596191406,-700.7559814453125
64.78446197509766,42.72540283203125,-699.7709350585938
56.39051055908203,43.2401008605957,-698.1298828125
58.28611373901367,43.221031188964844,-696.1013793945312
59.98564910888672,43.11738204956055,-694.392333984375
62.10532760620117,42.962039947509766,-692.9954833984375
63.974727630615234,43.288753509521484,-691.8010864257812
65.48313903808594,43.283748626708984,-690.8731079101562
55.57718276977539,43.889732360839844,-689.2279052734375
57.342403411865234,43.88075256347656,-687.0816650390625
59.2695426940918,43.56597900390625,-685.2811889648438
64.90584564208984,43.99087905883789,-684.3884887695312
54.74832534790039,44.74824523925781,-683.3463134765625
56.39463806152344,44.4732551574707,-681.1396484375
65.84306335449219,44.626590728759766,-680.0260009765625
54.12929916381836,45.29451370239258,-679.0181274414062
55.336143493652344,45.1211051940918,-676.814208984375
66.71170806884766,45.28584289550781,-675.6970825195312
54.49382400512695,45.87258529663086,-674.0032348632812
67.47636413574219,46.16493225097656,-672.8338012695312
53.770721435546875,46.63895034790039,-671.1634521484375
68.15325164794922,46.63197326660156,-670.1188354492188
67.78121185302734,47.15831756591797,-668.22412109375
53.49550247192383,47.907447814941406,-666.509033203125
68.38227844238281,47.97698211669922,-665.4608154296875
53.06922149658203,48.583980560302734,-663.8329467773438
53.34745407104492,49.259193420410156,-661.8839111328125
68.38796997070312,49.247440338134766,-660.9005126953125
52.990806579589844,49.92649459838867,-659.2534790039062
67.86004638671875,49.88043212890625,-657.5171508789062
53.295860290527344,50.43040466308594,-655.8383178710938
68.22792053222656,50.46703338623047,-654.8766479492188
53.09392166137695,51.24186325073242,-653.0777587890625
67.66265106201172,51.2767333984375,-651.6422729492188
53.247562408447266,52.41505432128906,-650.1686401367188
67.48173522949219,52.4437255859375,-648.8321533203125
53.554656982421875,53.18748092651367,-647.1027221679688
54.38718032836914,54.01578140258789,-645.3643798828125
67.16142272949219,53.61460876464844,-644.5568237304688
54.11854934692383,54.51067352294922,-643.0180053710938
55.25701904296875,54.748451232910156,-640.7874755859375
65.11314392089844,54.671077728271484,-639.4091796875
66.48954010009766,54.2608528137207,-638.4705200195312
54.92658615112305,55.162532806396484,-636.9425659179688
56.414615631103516,55.37754821777344,-634.7830200195312
58.32608413696289,55.798763275146484,-633.0908203125
60.233070373535156,55.6666259765625,-631.37646484375
62.309696197509766,55.529293060302734,-630.044677734375
63.984012603759766,55.27729034423828,-628.8781127929688
65.6326675415039,54.98757553100586,-627.9383544921875
57.41910171508789,55.91321563720703,-625.9841918945312
59.287071228027344,56.04631805419922,-624.2809448242188
61.15766525268555,56.04259490966797,-622.814453125
63.08089065551758,55.890838623046875,-621.5670776367188
58.33476638793945,56.39309310913086,-620.28076171875
60.39812088012695,56.49838638305664,-618.7110595703125
61.97378158569336,56.45237350463867,-617.3140869140625
57.61374282836914,30.08294105529785,-616.7369384765625
59.32741928100586,29.949909210205078,-615.3359985351562
54.735591888427734,30.808460235595703,-613.78076171875
56.43976593017578,30.582910537719727,-612.1907958984375
58.367122650146484,30.59027099609375,-610.624267578125
60.26572036743164,30.593740463256836,-609.2079467773438
61.921165466308594,30.80150604248047,-607.8399658203125
53.88227844238281,31.431734085083008,-606.3114013671875
55.46274185180664,31.28004264831543,-604.6326293945312
57.3994140625,31.252111434936523,-603.0067749023438
59.31640625,31.25126075744629,-601.5069580078125
61.209808349609375,31.26247787475586,-600.141845703125
62.844383239746094,31.457683563232422,-598.8424682617188
53.14752960205078,31.994905471801758,-597.38037109375
54.59601593017578,31.94427490234375,-595.6473388671875
56.41971206665039,31.95745086669922,-593.95849609375
58.3599853515625,31.94228172302246,-592.3842163085938
60.25788497924805,31.927974700927734,-590.9369506835938
62.16325759887695,31.949371337890625,-589.6309814453125
63.74586486816406,32.127586364746094,-588.3967895507812
53.65262222290039,32.63893127441406,-586.73193359375
55.51919937133789,32.6389045715332,-584.977783203125
57.393672943115234,32.64089584350586,-583.338623046875
59.263946533203125,32.69081115722656,-581.794677734375
61.20262145996094,32.6143798828125,-580.4110717773438
63.06572341918945,32.62492752075195,-579.1692504882812
64.65994262695312,32.83827209472656,-578.008544921875
52.912132263183594,33.182796478271484,-576.4002075195312
54.59409713745117,33.305965423583984,-574.5689086914062
56.52875900268555,33.36288833618164,-572.846923828125
58.28879928588867,33.21233367919922,-571.2850341796875
60.2431755065918,33.302764892578125,-569.77587890625
62.134552001953125,33.293643951416016,-568.4306640625
63.94182205200195,33.30181121826172,-567.255859375
53.62859344482422,33.986976623535156,-565.7476196289062
55.515838623046875,33.98247528076172,-563.9522094726562
57.396827697753906,33.90353775024414,-562.2935180664062
59.298091888427734,33.99355697631836,-560.7119140625
61.22613525390625,33.93688201904297,-559.2860107421875
63.03931427001953,33.97935104370117,-557.9923095703125
64.8008804321289,33.98113250732422,-556.8915405273438
53.151187896728516,34.669464111328125,-555.3992919921875
54.56783676147461,34.66572189331055,-553.6055297851562
56.480621337890625,34.65616226196289,-551.8532104492188
58.3204231262207,34.687957763671875,-550.209716796875
60.25591278076172,34.68059539794922,-548.6831665039062
62.18303680419922,34.585426330566406,-547.330078125
63.985015869140625,34.65068435668945,-546.1203002929688
65.39126586914062,34.67686462402344,-544.9993286132812
53.74446105957031,35.3449592590332,-543.303466796875
55.51227569580078,35.327396392822266,-541.4920654296875
57.40165710449219,35.32318115234375,-539.7693481445312
59.2845458984375,35.36482238769531,-538.1530151367188
61.196380615234375,35.34091567993164,-536.6859130859375
63.05607986450195,35.32223129272461,-535.3922119140625
64.84561920166016,35.333717346191406,-534.2881469726562
54.570831298828125,36.004066467285156,-532.6888427734375
56.48311233520508,35.98769760131836,-530.8792724609375
58.344451904296875,35.99272155761719,-529.185302734375
60.24740219116211,36.0367546081543,-527.6146240234375
62.12303161621094,35.98405838012695,-526.2260131835938
64.0006103515625,35.98131561279297,-525.0377807617188
65.42728424072266,35.99502944946289,-523.9317016601562
53.84703063964844,36.493194580078125,-522.391357421875
55.513248443603516,36.65925598144531,-520.5556640625
57.39903259277344,36.64912414550781,-518.7684936523438
59.269771575927734,36.703773498535156,-517.1028442382812
61.17474365234375,36.672298431396484,-515.6058959960938
63.0760498046875,36.64506912231445,-514.3157348632812
64.94988250732422,36.65415954589844,-513.2528076171875
54.67286682128906,37.332393646240234,-511.7705078125
56.49343490600586,37.31133270263672,-509.9022216796875
58.34867477416992,37.32600021362305,-508.14727783203125
60.24772262573242,37.374080657958984,-506.53662109375
62.123619079589844,37.317771911621094,-505.1356201171875
63.98106002807617,37.330970764160156,-503.95361328125
65.4656982421875,37.32053756713867,-502.88604736328125
55.50929260253906,37.996849060058594,-501.1077880859375
57.396488189697266,37.977291107177734,-499.24456787109375
59.24679183959961,38.02327346801758,-497.5335693359375
61.17790222167969,38.02337646484375,-495.9993896484375
63.05108642578125,38.00394058227539,-494.7076416015625
64.94733428955078,37.98176193237305,-493.6800537109375
54.76698684692383,38.496498107910156,-492.31988525390625
56.47122573852539,38.6412353515625,-490.3963623046875
58.34516525268555,38.65200424194336,-488.57000732421875
60.229434967041016,38.31928634643555,-486.97210693359375
62.12633514404297,38.6514892578125,-485.509033203125
64.01467895507812,38.65229034423828,-484.35504150390625
65.516357421875,38.643821716308594,-483.3216552734375
55.483646392822266,39.32868576049805,-481.62677001953125
57.39175033569336,39.29547119140625,-479.6693115234375
59.07768630981445,39.141387939453125,-477.9442138671875
63.04520797729492,39.35749435424805,-476.5537109375
64.91476440429688,39.32425308227539,-475.5531005859375
54.976524353027344,39.96231460571289,-474.27001953125
56.446197509765625,39.95973587036133,-472.32574462890625
58.3828125,39.95197296142578,-470.42425537109375
63.974754333496094,40.01118087768555,-469.16845703125
65.7934799194336,39.975833892822266,-468.30072021484375
55.476505279541016,40.62175750732422,-466.555419921875
57.38934326171875,40.6116828918457,-464.51177978515625
64.95471954345703,40.61680603027344,-463.36895751953125
54.70383834838867,41.44252395629883,-462.24774169921875
56.425025939941406,41.26655197143555,-460.1563720703125
64.24141693115234,41.179080963134766,-458.50946044921875
65.8658218383789,41.2733268737793,-457.59991455078125
55.49097442626953,41.94438934326172,-455.8521728515625
57.378021240234375,41.601966857910156,-453.8243408203125
64.98176574707031,41.90049743652344,-452.593505859375
54.6534423828125,42.64705276489258,-451.5694580078125
56.23895263671875,42.466712951660156,-449.4505615234375
65.92801666259766,42.58189010620117,-448.29388427734375
53.97173309326172,43.27054977416992,-447.2515869140625
55.361228942871094,43.17542266845703,-445.1007080078125
66.78191375732422,43.31419372558594,-443.978271484375
54.55332565307617,43.949092864990234,-442.2822265625
66.07780456542969,43.77424240112305,-440.47222900390625
67.46891784667969,43.89922332763672,-439.646484375
53.6794319152832,44.63684844970703,-438.02337646484375
67.03486633300781,44.473941802978516,-436.20843505859375
67.8005599975586,45.251251220703125,-434.848876953125
53.43553924560547,45.87856674194336,-433.285400390625
68.52203369140625,46.03731155395508,-432.03216552734375
52.94344711303711,46.72671127319336,-430.39971923828125
53.21274185180664,47.253841400146484,-428.48748779296875
68.83677673339844,47.19516372680664,-427.43896484375
52.77404022216797,47.907501220703125,-425.77874755859375
69.44864654541016,48.11540222167969,-424.70367431640625
68.9222640991211,48.59592819213867,-422.7982177734375
52.72528839111328,49.24620819091797,-421.14141845703125
69.35032653808594,49.255653381347656,-420.13037109375
68.7791519165039,50.06898880004883,-418.3143310546875
52.688812255859375,50.614356994628906,-416.61297607421875
68.62164306640625,51.14695358276367,-415.363037109375
52.79074478149414,51.98902130126953,-413.69805908203125
68.11856842041016,52.04907989501953,-412.25799560546875
52.8746223449707,53.224098205566406,-410.8966064453125
67.76620483398438,53.26668167114258,-409.43218994140625
53.385013580322266,54.016536712646484,-407.79058837890625
67.33707427978516,54.453330993652344,-406.67523193359375
53.8418083190918,55.1179313659668,-405.1602783203125
55.50545120239258,55.584312438964844,-402.968017578125
64.93883514404297,55.55366134643555,-401.50146484375
66.63912963867188,55.11746597290039,-400.63580322265625
54.72604751586914,55.73887252807617,-399.082763671875
56.27793884277344,56.20048141479492,-397.18267822265625
64.23754119873047,56.16720962524414,-395.68438720703125
65.72484588623047,55.759273529052734,-394.5787353515625
55.6362419128418,56.360408782958984,-393.16778564453125
